date,next_date,n_stocks,pred_sigma_daily,pred_sigma_annual,realized_return_next,factor_var_daily,specific_var_daily,factor_risk_share,specific_risk_share,factor_vol_annual_component,specific_vol_annual_component,z,realized_vol_daily_rolling,realized_vol_annual_rolling
2023-12-05,2023-12-06,492,0.008793145156730298,0.13958685196080264,0.00010902358126793909,7.690559200473802e-05,4.13809742591469e-07,0.9946480477960273,0.005351952203972678,0.13921281975879227,0.010211760628464133,0.012398701411689098,0.008192464908420839,0.13005134863383053
2023-12-06,2023-12-07,492,0.008772275838923052,0.13925556181110538,0.005257652645347115,7.65394708410106e-05,4.133525531425461e-07,0.994628493992672,0.0053715060073280235,0.1388810521703183,0.010206117939349987,0.599348759875816,0.008171832176604589,0.1297238141703084
2023-12-07,2023-12-08,492,0.008758794545262471,0.1390415529088414,0.004023658599195772,7.630378445805202e-05,4.126974280676076e-07,0.9946204854821129,0.005379514517887157,0.13866706055667694,0.010198026861753067,0.4593849734004917,0.00810390754077385,0.12864554400449182
2023-12-08,2023-12-11,492,0.008742219334449935,0.13877842959441078,0.008292230341560992,7.601435497889751e-05,4.120439127327572e-07,0.994608617981373,0.0053913820186270965,0.13840382023153183,0.010189949264282665,0.9485269156865352,0.00763101275927966,0.12113857207568869
2023-12-11,2023-12-12,492,0.008739597428474312,0.13873680812737582,0.0017909348325002657,7.59687058109173e-05,4.118574008775041e-07,0.9946078245098106,0.005392175490189426,0.1383622559239013,0.010187642760773025,0.2049218911005278,0.0074448650106117105,0.11818356817514898
2023-12-12,2023-12-13,492,0.008719947326046166,0.1384248724218049,0.01970461719486978,7.562601935261223e-05,4.114620164074641e-07,0.9945886948252456,0.005411305174754355,0.13804983475853308,0.010182751501174963,2.259717456780135,0.008121686145396333,0.12892777060342483
2023-12-13,2023-12-14,492,0.00880062817875935,0.1397056412528672,0.011784473409460369,7.703924892689905e-05,4.1180741387408323e-07,0.9946829980980221,0.0053170019019778345,0.13933373866217244,0.010187024506511653,1.3390491190052367,0.006343918126638,0.10070657820503347
2023-12-14,2023-12-15,492,0.008815170882930712,0.13993649952463402,-0.0062247449196112525,7.729331663613901e-05,4.1392105913043166e-07,0.9946733268173342,0.005326673182665838,0.13956330388861907,0.01021313403911203,-0.7061400172814074,0.006715559979401691,0.10660620972020952
2023-12-15,2023-12-18,492,0.00880610117167098,0.13979252232189554,0.0014968372363441554,7.713416385729279e-05,4.1325398841221095e-07,0.9946709510143271,0.005329048985672954,0.13941954415374405,0.010204901032341136,0.16997729269332557,0.006547837801843748,0.1039437026931983
2023-12-18,2023-12-19,492,0.008786332379624976,0.13947870247705227,0.0082733828935363,7.678716900605693e-05,4.1246767918937564e-07,0.9946571292702961,0.005342870729703871,0.13910559510503648,0.010195187843081788,0.9416196128343405,0.006620352236832245,0.10509483366184985
2023-12-19,2023-12-20,492,0.008783440038120356,0.1394327879790849,-0.01702974786705988,7.673734521310567e-05,4.114736901500443e-07,0.9946664939787863,0.005333506021213761,0.13906045805225375,0.010182895949473861,-1.938847170715612,0.008021766795855435,0.1273416001031335
2023-12-20,2023-12-21,492,0.00884112287640685,0.1403484746492194,0.011513288682004047,7.775474115038824e-05,4.107125653362709e-07,0.9947455999317809,0.005254400068218986,0.13997926549992265,0.010173473667570005,1.3022428081763298,0.008158822725618744,0.12951729553829622
